#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
409 0.107758 0.627417 0.091824 0.091824 0.091824 0.091824
410 0.107989 0.626020 0.092169 0.092169 0.092169 0.092169
411 0.108220 0.624642 0.092510 0.092510 0.092510 0.092510
412 0.108451 0.623283 0.092846 0.092846 0.092846 0.092846
413 0.108681 0.621945 0.093177 0.093177 0.093177 0.093177
414 0.108912 0.620629 0.093503 0.093503 0.093503 0.093503
415 0.109143 0.619337 0.093822 0.093822 0.093822 0.093822
416 0.109373 0.618069 0.094136 0.094136 0.094136 0.094136
417 0.109604 0.616827 0.094443 0.094443 0.094443 0.094443
418 0.109835 0.615612 0.094744 0.094744 0.094744 0.094744
419 0.110065 0.614425 0.095037 0.095037 0.095037 0.095037
420 0.110296 0.613267 0.095324 0.095324 0.095324 0.095324
421 0.110526 0.612138 0.095603 0.095603 0.095603 0.095603
422 0.110756 0.611040 0.095875 0.095875 0.095875 0.095875
423 0.110987 0.609973 0.096139 0.096139 0.096139 0.096139
424 0.111217 0.608938 0.096395 0.096395 0.096395 0.096395
425 0.111447 0.607936 0.096644 0.096644 0.096644 0.096644
426 0.111678 0.606966 0.096884 0.096884 0.096884 0.096884
427 0.111908 0.606029 0.097116 0.097116 0.097116 0.097116
428 0.112138 0.605126 0.097340 0.097340 0.097340 0.097340
429 0.112368 0.604257 0.097555 0.097555 0.097555 0.097555
